id,gender,lat,lng,city,st,zip,dob,occ,marital,edu
164,F,29.4375,-98.4616,San Antonio,TX,78285,1964-07-09,"Arts, Design, Entertainment, Sports, and Media",Single,Bach Degree
165,M,37.3352,-121.8938,San Jose,CA,95173,1984-05-23,Construction and Extraction,Single,Bach Degree
166,M,45.5289,-94.5933,Saint Cloud,MN,56372,1985-08-20,"Education, Training, and Library",Married,Some College
167,M,34.1669,-118.1551,Pasadena,CA,91103,1986-09-01,Legal,Single,Some College
168,M,25.7341,-80.4068,Miami,FL,33175,1981-12-27,Management,Single,HS Diploma
169,M,38.189,-85.6768,Louisville,KY,40287,1982-12-25,Construction and Extraction,Married,Less than HS Diploma
170,F,29.834,-95.4342,Houston,TX,77255,1979-12-14,Architecture and Engineering,Married,Some College
171,F,31.6948,-106.3,El Paso,TX,79989,1987-06-03,Sales,Single,HS Diploma
172,M,26.5354,-80.1124,Boynton Beach,FL,33436,1996-07-31,Entrepreneurial,Single,Bach Degree
173,M,41.0888,-73.5435,Stamford,CT,06905,1980-04-15,Entrepreneurial,Single,Less than HS Diploma
174,F,29.2243,-94.9637,Galveston,TX,77554,1992-08-06,Construction and Extraction,Married,Some College
175,M,38.2352,-104.66,Pueblo,CO,81005,1971-07-13,Legal,Single,Less than HS Diploma
176,F,29.834,-95.4342,Houston,TX,77271,1971-01-02,Legal,Married,Bach Degree
177,M,40.7845,-96.6888,Lincoln,NE,68583,1958-03-18,Construction and Extraction,Married,Grad Degree
178,F,38.8933,-77.0146,Washington,DC,20380,1996-07-13,Business and Financial Operations,Single,Bach Degree
179,F,42.4011,-96.372,Sioux City,IA,51110,1979-06-22,Computer and Mathematical,Single,HS Diploma
180,M,41.3089,-73.3637,Danbury,CT,06816,1974-10-18,Legal,Married,Bach Degree
181,F,38.596,-121.3978,Sacramento,CA,95865,1963-07-12,Business and Financial Operations,Single,Bach Degree
182,M,39.5387,-119.8225,Reno,NV,89550,1983-03-02,Computer and Mathematical,Single,Less than HS Diploma
183,F,42.2492,-71.8108,Worcester,MA,01610,1978-11-04,Legal,Single,Bach Degree
184,M,32.6796,-97.3336,Fort Worth,TX,76115,1984-05-20,"Arts, Design, Entertainment, Sports, and Media",Married,Bach Degree
185,F,36.2235,-115.2655,Las Vegas,NV,89125,1975-04-10,Protective Service,Married,Some College
186,M,29.4375,-98.4616,San Antonio,TX,78278,1983-01-15,"Arts, Design, Entertainment, Sports, and Media",Married,Some College
187,M,37.6566,-121.0191,Modesto,CA,95397,1971-12-27,Community and Social Service,Single,HS Diploma
188,M,43.012,-85.6309,Grand Rapids,MI,49505,1980-10-16,Healthcare Practitioners and Technical,Married,Bach Degree
189,M,45.0632,-93.3811,Minneapolis,MN,55428,1979-03-02,Computer and Mathematical,Married,Some College
190,M,40.177,-111.536,Provo,UT,84605,1964-10-14,Construction and Extraction,Married,Less than HS Diploma
191,M,38.6531,-90.2435,Saint Louis,MO,63150,1979-11-28,Entrepreneurial,Single,Bach Degree
192,M,41.6782,-83.4972,Toledo,OH,43656,1998-05-29,Sales,Single,Some College
193,F,27.8918,-82.7248,Saint Petersburg,FL,33742,1977-04-30,Construction and Extraction,Single,Grad Degree
194,F,35.7977,-78.6253,Raleigh,NC,27690,1984-02-05,Computer and Mathematical,Married,HS Diploma
195,M,47.6964,-117.4399,Spokane,WA,99205,1974-03-11,Computer and Mathematical,Unknown,HS Diploma
196,M,33.413,-82.1337,Augusta,GA,30905,1979-11-25,Sales,Single,HS Diploma
197,M,30.4501,-97.4865,Austin,TX,78715,1990-12-12,"Education, Training, and Library",Married,Less than HS Diploma
198,F,36.7464,-119.6397,Fresno,CA,93762,1979-12-25,Protective Service,Married,Bach Degree
199,F,40.0028,-83.0164,Columbus,OH,43210,1970-01-06,Business and Financial Operations,Single,Bach Degree
